"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"CNC","Centene Corp.","43.82","0.0","17,685","14.2","0.0","1.15"
"CNP","CenterPoint Energy, Inc.","28.83","4.0","14,152","25.2","101.2","0.35"
"COF","Capital One Financial Corp.","86.88","1.9","39,696","7.5","14.2","1.12"
"COG","Cabot Oil & Gas Corp.","18.17","1.6","7,401","9.2","15.1","0.60"
"COO","The Cooper Cos., Inc.","293.94","0.0","14,181","32.5","0.7","0.86"
"COP","ConocoPhillips","54.60","2.2","59,836","8.8","19.5","1.10"
"COST","Costco Wholesale Corp.","293.41","0.8","128,322","35.3","29.5","0.82"
"COTY","Coty, Inc.","10.34","4.9","7,678","-2.1","-10.1","0.92"
"CPB","Campbell Soup Co.","47.00","3.0","14,084","53.0","158.6","0.31"
"CPRI","Capri Holdings Ltd.","28.83","0.0","4,232","10.7","0.0","1.19"
"CPRT","Copart, Inc.","79.76","0.0","18,614","31.0","0.0","1.03"
"CRM","salesforce.com, inc.","148.80","0.0","113,646","120.6","0.0","1.54"
"CSCO","Cisco Systems, Inc.","47.77","2.9","196,939","18.2","53.2","1.29"
"CSX","CSX Corp.","66.79","1.4","52,559","16.0","22.3","1.07"
"CTAS","Cintas Corp.","260.97","0.0","27,289","29.9","0.0","1.07"
"CTL","CenturyLink, Inc.","11.49","13.9","12,380","-1.5","-21.5","0.98"
"CTSH","Cognizant Technology Solutions Corp.","60.28","1.4","32,529","16.7","22.7","0.93"
"CTVA","Corteva, Inc.","26.00","0.0","19,635","-3.3","0.0","-0.14"
"CTXS","Citrix Systems, Inc.","96.80","1.1","12,537","24.4","26.7","0.64"
"CVS","CVS Health Corp.","61.99","3.3","78,524","17.4","57.5","0.84"
"CVX","Chevron Corp.","113.26","4.1","212,072","14.6","60.2","0.84"
"CXO","Concho Resources, Inc.","63.27","0.4","12,456","25.0","10.1","1.39"
"D","Dominion Energy, Inc.","81.18","4.3","66,344","54.5","236.6","0.19"
"DAL","Delta Air Lines, Inc.","53.36","2.6","34,590","7.9","20.9","0.99"
"DD","DuPont de Nemours, Inc.","66.70","5.9","48,396","54.8","324.0","1.15"
"DE","Deere & Co.","166.55","1.8","51,944","16.0","28.8","1.27"
"DFS","Discover Financial Services","77.70","2.1","23,922","9.1","19.3","1.20"
"DG","Dollar General Corp.","160.01","0.8","41,089","25.6","19.5","0.80"
"DGX","Quest Diagnostics, Inc.","104.67","2.0","13,755","19.5","39.8","0.68"
"DHI","D.R. Horton, Inc.","52.33","1.1","19,570","12.4","13.5","0.78"
"DHR","Danaher Corp.","139.68","0.5","97,289","40.4","19.6","0.95"
"DIS","The Walt Disney Co.","130.90","1.3","231,423","16.4","22.0","0.85"
"DISCA","Discovery, Inc.","27.38","0.0","14,424","11.4","0.0","0.91"
"DISCK","Discovery, Inc.","25.44","0.0","13,419","10.6","0.0","0.90"
"DISH","DISH Network Corp.","33.15","0.0","15,812","10.9","0.0","1.27"
"DLR","Digital Realty Trust, Inc.","128.26","3.2","26,876","117.5","380.8","0.54"
"DLTR","Dollar Tree, Inc.","112.16","0.0","26,615","-16.9","0.0","0.64"
"DOV","Dover Corp.","94.64","2.1","13,378","22.9","47.8","0.97"
"DOW","Dow, Inc.","45.17","0.0","32,589","","","-0.17"
"DRE","Duke Realty Corp.","33.83","2.5","12,326","52.5","131.3","0.59"
"DRI","Darden Restaurants, Inc.","115.79","2.7","13,969","19.9","54.6","0.70"
"DTE","DTE Energy Co.","132.45","2.9","23,862","21.8","62.3","0.18"
"DUK","Duke Energy Corp.","96.92","3.9","70,011","21.4","82.6","0.17"
"DVA","DaVita, Inc.","55.67","0.0","8,688","67.5","0.0","1.03"
"DVN","Devon Energy Corp.","21.89","1.6","8,451","2.7","4.4","1.54"
"DXC","DXC Technology Co.","26.95","3.0","6,897","6.4","18.8","1.45"
"EA","Electronic Arts, Inc.","93.57","0.0","27,272","13.0","0.0","1.08"
"EBAY","eBay, Inc.","37.82","0.8","31,302","14.6","10.9","1.02"
"ECL","Ecolab, Inc.","191.11","0.9","54,572","36.8","34.8","0.79"
"ED","Consolidated Edison, Inc.","93.86","3.1","30,889","22.2","69.4","0.17"
"EFX","Equifax, Inc.","137.76","1.1","16,448","-39.1","-44.9","0.81"
"EIX","Edison International","74.89","3.3","26,760","-98.4","-321.5","0.51"
"EL","The Estée Lauder Companies, Inc.","195.22","0.9","68,284","39.8","35.1","1.03"
"EMN","Eastman Chemical Co.","70.41","3.5","9,403","10.8","37.9","1.24"
"EMR","Emerson Electric Co.","64.45","3.1","38,849","18.1","56.1","1.15"
"EOG","EOG Resources, Inc.","69.76","1.4","39,887","11.3","15.6","1.24"
"EQIX","Equinix, Inc.","577.31","1.7","48,304","95.1","158.3","0.57"
"EQR","Equity Residential","87.76","2.5","32,468","50.7","128.3","0.36"
"ES","Eversource Energy","85.37","2.5","27,457","31.5","77.2","0.20"
"ESS","Essex Property Trust, Inc.","329.57","2.3","21,539","53.0","123.2","0.37"
"ETFC","E*TRADE Financial Corp.","37.22","1.1","8,796","9.1","10.4","1.26"
"ETN","Eaton Corp. Plc","78.30","3.6","32,025","15.2","54.4","1.11"
"ETR","Entergy Corp.","117.79","3.1","23,386","22.8","70.1","0.18"
"EVRG","Evergy, Inc.","65.63","2.9","15,307","27.8","80.7","0.14"
"EW","Edwards Lifesciences Corp.","225.18","0.0","45,343","64.9","0.0","1.24"
"EXC","Exelon Corp.","48.46","3.0","46,412","20.7","61.2","0.25"
"EXPD","Expeditors International of Washington, Inc.","70.84","1.4","11,776","19.2","26.5","1.05"
"EXPE","Expedia Group, Inc.","132.35","1.0","19,272","31.9","31.0","0.86"
"EXR","Extra Space Storage, Inc.","116.75","3.0","15,848","34.4","102.3","0.24"
"F","Ford Motor Co.","8.68","7.0","34,074","15.7","110.6","0.87"
"FANG","Diamondback Energy, Inc.","83.37","0.7","13,177","13.3","9.2","1.28"
"FAST","Fastenal Co.","31.03","2.7","17,546","23.2","63.0","1.15"
"FB","Facebook, Inc.","179.68","0.0","507,111","30.2","0.0","1.25"
"FBHS","Fortune Brands Home & Security, Inc.","56.23","1.5","7,727","19.4","29.6","1.23"
"FCX","Freeport-McMoRan, Inc.","8.76","2.4","12,347","19.7","46.3","1.48"
"FDX","FedEx Corp.","142.09","1.9","36,107","83.2","156.4","1.31"
"FE","FirstEnergy Corp.","48.03","3.1","25,714","23.1","71.8","0.32"
"FFIV","F5 Networks, Inc.","133.30","0.0","7,815","17.2","0.0","1.22"
"FIS","Fidelity National Information Services, Inc.","130.57","1.0","79,459","56.2","58.1","0.92"
"FISV","Fiserv, Inc.","104.59","0.0","40,519","43.2","0.0","1.01"
"FITB","Fifth Third Bancorp","26.29","3.4","18,493","8.7","29.5","0.91"
"FLIR","FLIR Systems, Inc.","52.33","1.3","6,979","25.6","32.8","0.95"
"FLS","Flowserve Corp.","44.17","1.8","5,574","28.0","50.0","1.51"
"FLT","FleetCor Technologies, Inc.","284.59","0.0","24,226","27.7","0.0","1.05"
"FMC","FMC Corp.","81.06","1.7","10,309","20.8","36.0","1.10"
"FOX","Fox Corp.","30.49","0.0","18,637","11.9","0.0","-0.27"
"FOXA","Fox Corp.","30.60","0.0","18,649","11.9","0.0","-0.16"
"FRC","First Republic Bank (San Francisco, California)","94.48","0.8","15,577","18.7","14.8","0.88"
"FRT","Federal Realty Investment Trust","135.85","3.0","10,200","41.2","124.4","0.48"
"FTI","TechnipFMC Plc","22.83","2.3","9,978","-5.1","-12.0","1.26"
"FTNT","Fortinet, Inc.","77.81","0.0","13,051","35.6","0.0","1.29"
"FTV","Fortive Corp.","65.64","0.4","21,554","8.4","3.7","1.04"
"GD","General Dynamics Corp.","176.70","2.2","50,980","15.5","34.3","0.95"
"GE","General Electric Co.","8.56","1.8","72,260","-3.5","-6.3","1.11"
"GILD","Gilead Sciences, Inc.","62.73","3.9","78,127","13.5","52.5","0.83"
"GIS","General Mills, Inc.","54.50","3.6","32,727","17.5","63.4","0.33"
"GL","Globe Life, Inc.","93.80","0.7","10,076","14.5","10.5","0.90"
"GLW","Corning, Inc.","27.92","2.8","21,294","15.7","43.6","1.28"
"GM","General Motors Co.","34.75","4.5","48,371","5.5","24.5","0.99"
"GOOG","Alphabet, Inc.","1,207.68","0.0","824,568","24.2","0.0","1.26"
"GOOGL","Alphabet, Inc.","1,208.25","0.0","825,261","24.2","0.0","1.26"
"GPC","Genuine Parts Co.","94.54","3.2","13,519","17.5","56.0","0.65"
"GPN","Global Payments, Inc.","160.20","0.0","47,263","52.0","1.3","1.21"
"GPS","Gap, Inc.","16.57","6.1","6,020","6.7","40.8","0.92"
"GRMN","Garmin Ltd.","84.64","2.6","15,833","21.6","56.1","0.81"
"GS","The Goldman Sachs Group, Inc.","200.40","1.6","70,966","8.3","13.7","1.17"
"GWW","W.W. Grainger, Inc.","288.97","2.0","15,399","19.6","38.3","0.89"
"HAL","Halliburton Co.","18.36","3.9","15,985","12.1","47.6","1.23"
"HAS","Hasbro, Inc.","117.66","2.2","14,726","47.8","107.3","0.99"
"HBAN","Huntington Bancshares, Inc.","13.84","4.2","14,000","10.8","44.9","0.93"
"HBI","Hanesbrands, Inc.","14.84","4.1","5,282","9.6","39.3","1.07"
"HCA","HCA Healthcare, Inc.","118.18","1.3","39,772","11.1","14.3","0.96"
"HCP","HCP, Inc.","36.32","4.1","17,900","17.6","71.5","0.31"
"HD","The Home Depot, Inc.","226.74","2.1","248,237","22.5","47.4","0.91"
"HES","Hess Corp.","62.70","1.6","18,914","-391.9","-630.8","1.57"
"HFC","HollyFrontier Corp.","52.97","2.5","8,572","9.8","24.8","1.35"
"HIG","The Hartford Financial Services Group, Inc.","58.94","2.1","20,906","13.0","27.0","0.73"
