"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"MSFT","Microsoft Corp.","137.12","1.4","1,035,896","26.8","36.4","1.37"
"MSI","Motorola Solutions, Inc.","167.79","1.3","28,439","26.7","34.9","0.93"
"MTB","M&T Bank Corp.","154.02","2.7","20,120","11.0","29.3","0.79"
"MTD","Mettler-Toledo International, Inc.","681.85","0.0","16,207","31.1","0.0","1.15"
"MU","Micron Technology, Inc.","44.16","0.0","47,054","7.8","0.0","1.85"
"MXIM","Maxim Integrated Products, Inc.","56.92","3.3","15,034","18.9","62.6","1.35"
"MYL","Mylan NV","18.84","0.0","9,481","314.0","0.0","1.40"
"NBL","Noble Energy, Inc.","19.72","2.3","9,306","-10.2","-23.7","1.50"
"NCLH","Norwegian Cruise Line Holdings Ltd.","48.56","0.0","10,169","10.9","0.0","1.16"
"NDAQ","Nasdaq, Inc.","99.01","1.8","15,987","30.3","55.8","0.82"
"NEE","NextEra Energy, Inc.","232.55","2.1","112,398","33.2","68.1","0.20"
"NEM","Newmont Goldcorp Corp.","38.26","1.4","31,910","-281.3","-404.8","-0.11"
"NFLX","Netflix, Inc.","274.46","0.0","118,530","104.0","0.0","1.71"
"NI","NiSource, Inc.","29.33","2.7","10,763","96.2","263.5","0.26"
"NKE","NIKE, Inc.","93.17","1.0","143,759","33.9","32.6","1.13"
"NKTR","Nektar Therapeutics","18.67","0.0","2,835","-7.7","0.0","1.50"
"NLSN","Nielsen Holdings Plc","20.94","6.9","7,209","-10.8","-74.6","0.95"
"NOC","Northrop Grumman Corp.","367.92","1.3","62,339","17.9","23.9","0.84"
"NOV","National Oilwell Varco, Inc.","20.69","1.0","7,825","-1.4","-1.4","1.27"
"NRG","NRG Energy, Inc.","38.92","0.3","9,866","21.4","6.6","0.73"
"NSC","Norfolk Southern Corp.","171.67","2.0","43,920","16.5","32.9","1.06"
"NTAP","NetApp, Inc.","52.03","3.3","12,026","13.1","43.5","1.49"
"NTRS","Northern Trust Corp.","88.77","2.6","18,798","13.4","35.1","1.11"
"NUE","Nucor Corp.","49.68","3.2","14,748","7.0","22.7","1.13"
"NVDA","NVIDIA Corp.","184.33","0.4","107,933","40.9","14.5","2.11"
"NWL","Newell Brands, Inc.","18.59","5.0","7,824","-1.2","-5.8","1.11"
"NWS","News Corp.","13.94","1.5","7,719","52.5","79.7","0.91"
"NWSA","News Corp.","13.71","1.5","7,591","51.7","79.7","0.93"
"O","Realty Income Corp.","77.82","3.4","24,796","59.4","204.2","0.36"
"OKE","ONEOK, Inc.","70.72","5.0","28,164","23.2","116.0","0.94"
"OMC","Omnicom Group, Inc.","77.00","3.3","16,307","12.9","43.0","0.73"
"ORCL","Oracle Corp.","54.80","1.6","177,420","17.4","27.6","0.99"
"ORLY","O'Reilly Automotive, Inc.","388.95","0.0","29,658","22.9","0.0","0.62"
"OXY","Occidental Petroleum Corp.","42.18","7.6","36,521","8.3","63.7","0.94"
"PAYX","Paychex, Inc.","82.93","2.9","29,380","28.2","81.1","0.91"
"PBCT","People's United Financial, Inc.","15.30","4.7","5,949","11.7","55.0","0.86"
"PCAR","PACCAR, Inc.","67.73","1.9","23,054","10.0","18.5","1.02"
"PEG","Public Service Enterprise Group, Inc.","62.16","3.0","30,929","21.4","64.5","0.26"
"PEP","PepsiCo, Inc.","138.34","2.7","191,371","15.7","43.0","0.47"
"PFE","Pfizer Inc.","35.83","4.0","195,965","16.1","64.4","0.74"
"PFG","Principal Financial Group, Inc.","54.29","4.1","14,600","10.1","41.6","1.16"
"PG","Procter & Gamble Co.","122.84","2.4","302,643","84.1","201.6","0.48"
"PGR","Progressive Corp.","75.76","3.5","43,494","13.7","48.1","0.96"
"PH","Parker-Hannifin Corp.","170.88","1.9","21,409","14.7","27.8","1.30"
"PHM","PulteGroup, Inc.","36.75","1.1","10,041","11.1","12.7","0.64"
"PKG","Packaging Corporation of America","103.71","3.1","9,668","12.4","38.4","1.07"
"PKI","PerkinElmer, Inc. (United States)","84.35","0.4","8,786","37.0","13.1","1.27"
"PLD","Prologis, Inc.","85.76","2.4","53,734","31.6","75.1","0.67"
"PM","Philip Morris International, Inc.","77.17","6.0","118,819","15.4","91.7","0.52"
"PNC","The PNC Financial Services Group, Inc.","139.95","2.8","60,635","12.6","35.1","0.85"
"PNR","Pentair Plc","36.13","2.0","5,908","16.9","34.1","1.07"
"PNW","Pinnacle West Capital Corp.","97.44","3.0","10,734","21.7","66.1","0.21"
"PPG","PPG Industries, Inc.","115.71","1.7","26,547","22.7","38.7","0.84"
"PPL","PPL Corp.","30.81","5.4","21,819","12.5","68.0","0.28"
"PRGO","Perrigo Co. Plc","53.51","1.5","7,066","83.1","124.8","1.24"
"PRU","Prudential Financial, Inc.","86.99","4.5","34,149","8.7","39.1","1.19"
"PSA","Public Storage","246.62","3.2","43,094","29.4","95.3","0.13"
"PSX","Phillips 66","101.36","3.3","45,268","8.7","28.5","1.07"
"PVH","PVH Corp.","83.71","0.2","5,991","9.3","1.7","1.31"
"PWR","Quanta Services, Inc.","37.33","0.3","5,272","16.9","5.5","1.13"
"PXD","Pioneer Natural Resources Co.","124.54","0.4","20,635","23.4","9.1","1.35"
"PYPL","PayPal Holdings, Inc.","101.62","0.0","116,878","47.5","0.0","1.42"
"QCOM","QUALCOMM, Inc.","76.34","3.4","88,560","26.8","91.2","1.02"
"QRVO","Qorvo, Inc.","73.96","0.0","8,534","44.6","0.0","1.46"
"RCL","Royal Caribbean Cruises Ltd.","102.60","2.8","21,171","11.6","32.2","1.25"
"RE","Everest Re Group Ltd.","254.66","2.2","10,203","20.0","43.9","0.55"
"REG","Regency Centers Corp.","68.87","3.3","11,479","40.2","134.1","0.48"
"REGN","Regeneron Pharmaceuticals, Inc.","283.81","0.0","31,330","14.9","0.0","1.12"
"RF","Regions Financial Corp.","15.38","3.8","14,856","10.6","40.0","1.07"
"RHI","Robert Half International, Inc.","54.01","2.2","6,200","14.1","31.5","1.33"
"RJF","Raymond James Financial, Inc.","78.13","1.7","10,613","10.8","18.7","1.18"
"RL","Ralph Lauren Corp.","91.56","2.8","6,950","16.7","47.5","1.11"
"RMD","ResMed, Inc.","132.18","1.1","18,710","46.8","53.2","0.85"
"ROK","Rockwell Automation, Inc.","156.94","2.5","17,934","18.2","45.4","1.20"
"ROL","Rollins, Inc.","34.22","1.2","11,150","49.6","57.7","0.77"
"ROP","Roper Technologies, Inc.","338.56","0.5","34,588","31.2","16.9","1.00"
"ROST","Ross Stores, Inc.","108.14","0.9","39,023","24.4","21.7","1.00"
"RSG","Republic Services, Inc.","86.58","1.8","27,456","26.7","46.7","0.47"
"RTN","Raytheon Co.","193.98","1.9","53,532","17.9","33.6","0.80"
"SBAC","SBA Communications Corp.","236.35","0.0","26,824","205.5","0.0","0.49"
"SBUX","Starbucks Corp.","85.85","1.7","101,637","30.0","50.9","0.77"
"SCHW","The Charles Schwab Corp.","35.45","1.7","46,051","13.2","22.5","1.19"
"SEE","Sealed Air Corp.","40.14","1.6","6,075","17.2","27.9","0.64"
"SHW","The Sherwin-Williams Co.","549.28","0.7","50,366","43.3","31.6","0.86"
"SIVB","SVB Financial Group","197.34","0.0","9,706","9.1","0.0","1.56"
"SJM","The J. M. Smucker Co.","107.36","3.2","12,083","22.8","73.8","0.21"
"SLB","Schlumberger NV","31.80","6.5","42,472","21.1","137.2","1.08"
"SLG","SL Green Realty Corp.","80.30","4.2","6,906","29.1","122.6","0.64"
"SNA","Snap-On, Inc.","154.48","2.4","8,385","12.4","29.8","1.03"
"SNPS","Synopsys, Inc.","137.89","0.0","20,129","32.8","0.0","1.30"
"SO","The Southern Co.","61.92","3.9","64,135","14.5","57.0","0.17"
"SPG","Simon Property Group, Inc.","148.22","5.6","96,686","21.1","117.4","0.52"
"SPGI","S&P Global, Inc.","245.58","0.9","59,567","30.9","27.4","1.02"
"SRE","Sempra Energy","146.43","2.6","40,059","20.8","53.1","0.34"
"STI","SunTrust Banks, Inc.","66.47","3.0","29,175","11.6","35.3","0.89"
"STT","State Street Corp.","56.28","3.4","20,547","10.1","34.4","1.02"
"STX","Seagate Technology Plc","53.62","4.9","13,526","7.5","36.7","1.33"
"STZ","Constellation Brands, Inc.","188.74","1.6","36,318","45.7","71.9","0.78"
"SWK","Stanley Black & Decker, Inc.","138.83","2.0","20,498","29.1","56.8","1.43"
"SWKS","Skyworks Solutions, Inc.","80.88","1.9","13,564","15.3","29.5","1.47"
"SYF","Synchrony Financial","32.42","2.7","20,832","6.7","18.0","0.98"
"SYK","Stryker Corp.","212.94","1.0","77,561","22.4","21.9","0.95"
"SYMC","Symantec Corp.","23.47","1.3","14,356","127.1","164.1","1.22"
"SYY","Sysco Corp.","78.22","2.0","39,716","24.1","47.5","0.48"
"T","AT&T, Inc.","37.66","5.4","273,866","15.8","85.5","0.67"
"TAP","Molson Coors Brewing Co.","56.17","3.0","11,969","13.6","40.2","0.60"
"TDG","TransDigm Group, Inc.","514.42","0.0","27,149","38.5","0.0","1.24"
"TEL","TE Connectivity Ltd.","88.50","2.1","28,732","9.4","19.6","1.03"
"TFX","Teleflex, Inc.","328.44","0.4","14,644","55.7","23.9","0.92"
"TGT","Target Corp.","107.95","2.4","55,446","17.7","42.1","0.90"
"TIF","Tiffany & Co.","89.02","2.6","10,464","19.3","49.6","1.11"
"TJX","The TJX Cos., Inc.","55.73","1.5","67,206","22.1","34.0","0.91"
"TMO","Thermo Fisher Scientific, Inc.","289.16","0.3","108,901","32.8","8.7","1.10"
"TMUS","T-Mobile US, Inc.","78.48","0.0","66,314","20.3","0.0","0.79"
"TPR","Tapestry, Inc.","25.18","5.5","7,097","11.3","62.0","1.33"
"TRIP","TripAdvisor, Inc.","38.80","0.0","5,186","39.4","0.0","1.42"
"TROW","T. Rowe Price Group, Inc.","109.93","2.7","25,379","13.6","37.0","1.24"
"TRV","The Travelers Cos., Inc.","143.15","2.2","36,618","14.2","31.5","0.68"
"TSCO","Tractor Supply Co.","92.05","1.4","10,980","20.3","28.2","1.00"
"TSN","Tyson Foods, Inc.","81.16","1.9","23,700","13.2","24.7","0.48"
"TSS","Total System Services, Inc.","133.27","0.4","23,587","38.9","15.2",""
"TTWO","Take-Two Interactive Software, Inc.","122.99","0.0","13,519","45.2","0.0","1.23"
"TWTR","Twitter, Inc.","40.80","0.0","30,688","13.2","0.0","1.71"
"TXN","Texas Instruments Incorporated","128.85","2.3","116,683","23.1","54.2","1.28"
"TXT","Textron, Inc.","47.59","0.2","10,663","9.5","1.6","1.26"
"UA","Under Armour, Inc.","17.47","0.0","7,829","92.3","0.0","1.34"
"UAA","Under Armour, Inc.","19.10","0.0","8,578","100.9","0.0","1.34"
"UAL","United Airlines Holdings, Inc.","84.85","0.0","21,758","8.6","0.0","1.01"
"UDR","UDR, Inc.","49.02","2.7","23,310","85.4","232.4","0.41"
"UHS","Universal Health Services, Inc.","145.07","0.3","12,671","16.5","4.6","0.76"
"ULTA","Ulta Beauty, Inc.","242.75","0.0","13,948","20.4","0.0","0.89"
"UNH","UnitedHealth Group, Inc.","221.24","1.7","208,594","16.3","28.0","0.84"
"UNM","Unum Group","27.29","3.9","5,557","11.0","42.8","1.25"
"UNP","Union Pacific Corp.","155.91","2.2","106,715","18.4","40.9","1.09"
"UPS","United Parcel Service, Inc.","115.57","3.3","96,881","21.1","69.8","1.07"
"URI","United Rentals, Inc.","115.66","0.0","8,426","8.5","0.0","1.89"
"USB","U.S. Bancorp","53.93","2.8","82,541","12.7","35.8","0.75"
"UTX","United Technologies Corp.","132.69","2.2","112,861","21.4","47.6","1.06"
"V","Visa, Inc.","174.90","0.6","299,734","33.6","18.7","1.20"
"VAR","Varian Medical Systems, Inc.","112.30","0.0","9,830","30.3","0.0","0.92"
"VFC","VF Corp.","88.30","2.3","34,629","30.5","69.7","1.12"
"VIAB","Viacom, Inc.","23.08","3.6","8,943","5.7","20.5","1.00"
"VLO","Valero Energy Corp.","83.42","4.1","34,528","13.7","56.0","1.24"
"VMC","Vulcan Materials Co.","147.63","0.8","19,492","34.6","27.7","0.93"
"VNO","Vornado Realty Trust","63.58","4.1","11,984","4.2","17.3","0.61"
"VRSK","Verisk Analytics, Inc.","157.17","0.3","25,327","43.2","13.9","0.85"
"VRSN","VeriSign, Inc.","183.44","0.0","21,420","35.0","0.0","1.12"
"VRTX","Vertex Pharmaceuticals, Inc.","172.05","0.0","43,580","19.8","0.0","1.16"
"VTR","Ventas, Inc.","73.68","4.3","27,254","52.8","228.6","0.26"
"VZ","Verizon Communications, Inc.","60.25","4.0","247,001","15.7","63.5","0.30"
"WAB","Westinghouse Air Brake Technologies Corp.","65.03","0.8","12,205","35.9","27.0","1.08"
"WAT","Waters Corp.","223.48","0.0","13,886","28.2","0.0","0.90"
"WBA","Walgreens Boots Alliance, Inc.","52.76","3.4","47,044","10.3","34.9","0.96"
"WCG","WellCare Health Plans, Inc.","263.58","0.0","13,060","25.1","0.0","0.83"
"WDC","Western Digital Corp.","57.99","3.6","16,502","-22.4","-80.7","1.70"
"WEC","WEC Energy Group, Inc.","95.22","2.4","29,704","27.4","66.6","0.16"
"WELL","Welltower, Inc.","91.54","3.8","36,950","101.9","389.1","0.34"
"WFC","Wells Fargo & Co.","48.81","3.7","210,700","10.0","36.8","0.83"
"WHR","Whirlpool Corp.","156.95","3.0","9,849","11.0","32.9","1.14"
"WLTW","Willis Towers Watson Plc","187.59","1.4","23,781","28.8","39.1","0.73"
"WM","Waste Management, Inc.","115.71","1.7","48,689","28.0","47.7","0.52"
"WMB","The Williams Cos., Inc.","23.48","6.3","27,767","309.4","1,944.4","0.86"
"WMT","Walmart, Inc.","117.23","1.8","334,430","26.3","46.9","0.60"
"WRK","WestRock Co.","34.01","5.3","8,638","10.4","55.9","1.28"
"WU","The Western Union Co.","23.32","3.4","9,817","8.4","28.3","0.68"
"WY","Weyerhaeuser Co.","27.01","5.2","19,636","5,871.7","30,294.3","0.86"
"WYNN","Wynn Resorts Ltd.","107.02","3.2","11,038","13.8","43.9","1.69"
"XEC","Cimarex Energy Co.","45.32","1.7","4,457","7.3","12.6","1.54"
"XEL","Xcel Energy, Inc.","64.28","2.5","32,749","26.2","64.8","0.23"
"XLNX","Xilinx, Inc.","92.63","1.6","22,550","24.9","40.5","1.55"
"XOM","Exxon Mobil Corp.","68.02","5.0","282,215","16.4","81.8","0.88"
"XRAY","Dentsply Sirona, Inc.","53.94","0.7","11,951","111.8","73.4","0.71"
"XRX","Xerox Holdings Corp.","29.83","3.5","6,264","13.2","46.5","1.22"
"XYL","Xylem, Inc.","75.57","1.2","13,219","23.7","29.1","1.10"
"YUM","Yum! Brands, Inc.","113.69","1.4","34,259","26.5","36.7","0.57"
"ZBH","Zimmer Biomet Holdings, Inc.","134.50","0.7","26,941","-76.4","-55.9","0.91"
"ZION","Zions Bancorporation NA","43.44","2.8","7,469","9.9","28.1","0.95"
"ZTS","Zoetis, Inc.","126.07","0.5","59,876","44.0","21.7","0.97"
